全体の雰囲気,特徴キーワード,キャスト情報,該当キャストのプロフ本文
天真爛漫・愛嬌,"可愛い系, 甘えん坊, 完全未経験, 巨乳, グラマー",（22）T:156 B:90(G) W:57 H:86,【小柄Gカップのインパクト！】\n【可愛く愛嬌◎甘さと落ち着きの両立】\n【その笑顔、反則級】\n\n可憐なボディに秘められた、衝撃のGカップ──\n小柄なシルエットからは想像もつかない 圧巻のGカップ 、\n目の前に現れた瞬間、心を奪われること間違いなし。 服を脱いだ時のギャップに驚愕し、思わず二度見してしまうほどの グラマラスボディ。 その柔らかな膨らみがもたらす誘惑に、視線を逸らすことはまず不可能です。\n童顔×愛嬌たっぷりの笑顔は可愛らしさの極み。 甘えん坊な妹系の雰囲気を持ちながらも、時折見せる色気を帯びた大人の表情。 その ギャップ がたまらなく、一緒にいるだけで心が蕩けてしまう。 気づけば時間が溶けるように流れ、彼女の世界に引き込まれていく。\n完全未経験で慣れないながらも、一生懸命に応えようとする姿勢が 胸を打つ。 ぎこちない仕草や、緊張から生まれる初々しい表情が リアルな特別感 を演出。 まるで初恋のような甘酸っぱい感覚に、心がふわりと揺れる。\n今しか味わえない彼女の 「素」の可愛さと純粋な魅力。\n 誰よりもフレッシュなときめきを、ぜひ貴方の手で確かめてください。
清楚・可憐,"清楚, 癒し系, 美乳, 人懐っこい, おっとり",（22）T:158 B:85(D) W:57 H:88,【清楚なのにエロい】\n【癒しだけで終わらせてくれない】\n【彼女との時間は、まさに“二重の快感”】\n\n癒しと色気のダブルトラップ──\n人懐っこさの奥に宿る、本能を揺さぶるエロス\n\nその場にいるだけでふわっと空気が和らぐ。\n誰とでも自然に打ち解けられる、柔らかくてあたたかな雰囲気。\nまるで包み込むような優しさで、初対面でも自然と距離が近づいてしまう──\n彼女には、そんな“安心感の魔法”が宿っています。\nそれはまさに、母性。\n話すテンポも心地よく、相手のペースを大切にしてくれる。\n疲れた心が、そっと溶かされていくような癒しの時間がそこにあります。\n\n…けれど、その癒しだけで終わらせてくれないのが彼女の魅力。\nふと視線を落とせば、\nもちもちとした柔らかさと張りを兼ね備えたDカップの美乳。\nそして、きゅっと引き締まったいくびれからヒップへと流れるライン。\nそのギャップに、つい理性がざわついてしまう人も多いはず。\n\n笑顔の奥に、ふと滲む色気。\nおっとりした口調の中に、時折見せる艶やかな視線。\n「清楚」なのに、「エロい」。\nそのギャップがあまりにも自然で、気づけば心ごと飲み込まれてしまう──\nそんな“不意打ちの色香”を放つ逸材です。\n\n癒されながら、ドキッとさせられる。\n優しさに包まれながら、心がざわつく。\n彼女との時間は、まさに“二重の快感”──\nそんな“とろける時間”を味わえるはず\n\n今、この瞬間に出会えてよかったと、きっと思えるはずです。
親近感・ナチュラル,"癒し系, おっとり, 完全未経験, 美肌",（20）T:146 B:83(B) W:57 H:57,【完全業界未経験】\n【おっとり癒し系に秘められた“初めてのエロス”】\n【ふんわりとした笑顔に包まれて】\n\n池袋いちミニマム──ふわふわ、おっとり癒し系に秘められた“初めてのエロス”\nミニマムなサイズ感に、自然と守りたくなるような儚さと愛らしさ。 \nふんわりとした笑顔に包まれて話すうちに、気づけば心までほどけているはず。\n柔らかく、穏やかな声。相手の話をじっくりと聞き、寄り添う姿勢に、 「癒される…」と、思わずため息がこぼれる。\n\nふんわりとした空気をまとい、優しく微笑むその姿は、 まるで春の日差しのように穏やかで心地いい。\n会話はおっとりとした口調で、でも相手の言葉には丁寧に耳を傾けてくれる。\n気がつけば、自分の素のままを見せてしまっていることに驚かされるはずです。\n\nそんな彼女、実は完全な業界未経験。 けれど、エッチなことへの興味は、誰よりもまっすぐで素直。\n好奇心と恥じらいが交錯するその反応は、まさに“今だけ”の特別な魅力。\n何も知らないふりをしながらも、ほんの少しずつ大胆になっていく過程── その一瞬一瞬が、たまらなく愛おしい。\n\n恥じらいを見せながらも、好奇心旺盛な慣れない手つきや仕草、ちょっぴりたどたどしいけれど、 「もっと喜ばせたい」という想いがじわじわ伝わってくる。\n小ぶりながらもふわっとした柔らかさのバスト、順にそっと寄り添ってくるときの密着感。\nその瞬間、あなたは彼女の体温に包まれて、全身の力がふわっと抜ける。\nただ甘いだけじゃない、素肌と素肌の間に流れる静かな熱。\nそれは、未経験というフィルターを通しているからこその“今しかない色気”。\nそして、会話の中で何気なく見せる小さな笑顔や、 少し照れたように目を逸らす仕草、そのひとつひとつがとびきりのご褒美。\nこの出会いは、ただの癒しでは終わらない。\n“ピュア”と“エロス”が混ざり合う時間は、やがてあなたの記憶に深く刻まれるはずです。\n「癒されたい」「甘えたい」「とろけたい」── そんな気持ちをすべて委ねていい、唯一無二の存在。\n彼女との出会いが、あなたにとって“忘れられない初体験”になることをお約束します。
清楚・可憐,"清楚, 色白, 美肌, 完全未経験",（18）T:148 B:83(C) W:57 H:84,【業界完全未経験】\n【守ってあげたくなる小さな天使】\n【危うくも甘いギャップ】\n\n小さな天使、奇跡のはじまり──\n初めての扉を開けたばかりの「みる」さん。\nそのあどけない笑顔と、ぱっちりとした大きな瞳に、誰もが思わず心を奪われてしまうことでしょう。\n\n小柄で華奢な身体に透けるような色白の肌。\nふと触れたくなるほど滑らかで、近づけばかすかに甘い体温が伝わってくる。\n幼さを残したその佇まいには、危うさすら感じられ、胸の奥がざわつく瞬間も──。\n\n言葉を交わせば、無垢な笑顔と素直な反応がたまらなく愛おしい。\nはにかみながらも少しずつ心と身体を預けてくれる、その姿に本能がくすぐられる。\n\n完全業界未経験の彼女だからこそ見せる、戸惑いと興味の交差。\nその初々しい指先、恥じらうような視線、ほんの少しの密着が、想像以上に熱を帯びていく。\n\n清楚でピュアな印象の中に、じわじわと滲む色香。\nその危うくも甘いギャップを、ぜひあなた自身の目で確かめてみてください。
親近感・ナチュラル,"スレンダー, 美脚, 美乳, 完全未経験",（19）T:160 B:83(C) W:56 H:85,【美乳美脚のスレンダーモデルstyle】\n【業界完全未経験ながらテクニック急上昇中】\n【最近の好物は男性が悦んでいる姿】\n\nすらりとした体のラインは一見おとなしそうなのに、\nふとした瞬間に見せる脚の艶めきが、どうしても目を奪ってしまう。\nまっすぐ伸びた美脚は、ただ組み替える仕草ひとつで空気を変える。\nさりげないのに、妙に色っぽい。\nそんな“気づいたら惹かれてしまう”タイプの魅力。\n\nもともとは人見知りで距離感も慎重だったのに、\n最近は相手の反応を見るのがちょっと楽しいらしく、\n視線が触れたときにいたずらっぽく微笑んだり、\n褒められると照れながらも、\nわざとらしく脚の角度を変えてみたりする。\n\nその小さな変化が、やけにドキッとさせる。\n無自覚なのか、計算なのか──\n境界が曖昧なところがまた、たまらない。\n\n美脚と細い腰のラインがきれいに繋がり、\n身体をひねるだけで柔らかな陰影が生まれて、\n触れなくても“近づきたくなる空気”をまとっている。\n\n最近の彼女は、\n相手が喜んでいる表情を見ると、\n少しだけ満足そうに目を細める。\nその表情が急に大人びて見えて、\nどこか“新しいスイッチ”が入りはじめているのが分かる。\n\n控えめだった子が、\nゆっくりと艶っぽさを覚え、\n誰かをドキッとさせる自分に気づきはじめる瞬間。\n\nその“変わりはじめた今”こそ、\nいちばん惹きつけられる。
都会的・洗練,"綺麗系, スタイル抜群, スレンダー",（25）T:163 B:85(D) W:58 H:86,【洗練された大人のための、隠れ家】\n【都会的な気品と、柔らかな知性】\n【凛とした美しさが、安らぎに変わる場所】\n\n都会の喧騒をさらりと聞き流すような、洗練されたオーラを纏った彼女。\n凛とした佇まいは、まるで高級ホテルのラウンジにいるような優雅さを感じさせます。\n163cmの均整の取れたスタイルと、Dカップが描く気品あるシルエット。\n\nその美しさは一見クールに見えますが、\n言葉を交わせば驚くほど穏やかで、思慮深い優しさに溢れていることに気づくでしょう。\n上品な所作の一つひとつにまで宿る美意識が、\n貴方の疲れを丁寧に、ゆっくりと取り除いていきます。\n\n知的好奇心を刺激する会話と、心が通じ合う静かな時間。\n過度な装飾のない、本物の美しさに触れる贅沢。\n彼女と過ごすひとときで、貴方のステータスは最高に満たされるはずです。\n\n日常を忘れ、最高級の安らぎに浸る夜。\n彼女が貴方だけに贈る、洗練された極上の休日をお楽しみください。
清楚・可憐,"清楚, おっとり, 美肌",（22）T:158 B:84(D) W:57 H:85,【清楚のベールを脱ぐ、その瞬間のため】\n【おっとりとした癒しのシンフォニー】\n【貴方だけに見せる、理性の綻び】\n\nどこまでも清らかで、おっとりとした空気を纏った彼女。\nその落ち着いた立ち振る舞いには、育ちの良さと品の良さが滲み出ています。\n一緒にいるだけで、日々の喧騒が遠のいていくような深い安らぎ。\n\nしかし、ふたりきりの刻が深まり、彼女の「清楚」というベールがそそっと剥がされる時、\n内面に秘めた好奇心が、驚くほどの熱を帯びて現れます。\n貴方の指先に触れ、瞳を潤ませる彼女の姿。\nその美しい豹変ぶりに、貴方は言葉を失うことになるでしょう。\n\nしなやかな曲線を描くDカップのバストと、きめ細やかな白い肌。\n清楚な彼女が見せる、恥じらいを含んだ大胆なアプローチ。\nそのギャップは、貴方の本能を最高に昂ぶらせ、深い悦びへと誘います。\n\n心と体が優しく響き合う、至福のひととき。\n清楚な彼女が貴方だけに贈る、甘美な癒しの時間を心ゆくまでお楽しみください。
天真爛漫・愛嬌,"可愛い系, 愛嬌抜群, 完全未経験, 美肌",（21）T:153 B:85(D) W:58 H:84,【笑顔の魔法にかかる、特別な休日】\n【屈託のない愛嬌と、隠れた熱量】\n【フレッシュなときめき、再発見】\n\n弾けるような笑顔と、天真爛漫な明るさを纏った彼女。\n部屋に太陽が差し込んだような温かな雰囲気は、貴方の心を瞬時に解きほぐしてくれるはずです。\n153cmの小柄で愛らしいシルエット。\nその「可愛い」の奥底に、じわじわとにじむような隠れたエロスを感じるでしょう。\n\n健康的なDカップのバストラインと、瑞々しい肌の質感。\n彼女が笑い、動くたびに、その瑞々しい曲線がしなやかに躍動します。\n計算のない純粋な反応の一つひとつが、貴方の本能を優しく刺激していく。\n\n完全未経験だからこそ味わえる、手垢のついていないピュアな反応。\n初めての経験に驚き、はにかむ彼女の健気な姿に、愛おしさが爆発します。\n彼女の真っ直ぐな想いが、貴方の孤独を優しく癒していく。\n\n世界で一番安心できる、ふたりだけの隠れ家。\n彼女が貴方だけに贈る、最高にキュートで温かな時間を満喫してください。
天真爛漫・愛嬌,"可愛い系, ロリ系, 完全未経験, 愛嬌抜群",（22）T:151 B:85(C) W:57 H:84,【小顔で可愛らしいちいさな天使】\n【万人に愛される愛嬌】\n【じわじわとにじむエロス】\n\nぱっと目に入る小柄でキュートなシルエット、そして愛嬌たっぷりの表情。\n彼女の魅力は、「可愛い」だけじゃ収まらない、誰からも愛される“素直さと初々しさ”にあります。\n\nまだ完全未経験──それでも、お客様一人ひとりの「好き」に応えたいという気持ちは人一倍。\n慣れていないはずなのに、ふと感じる積極的な雰囲気に、思わずドキッとする方も多いはず。\n何も知らないはずの彼女が、少しずつ学びながら近づいてくる感覚を、ぜひ独占してください。
清楚・可憐,"清楚, 巨乳, 完全未経験, 色白",（18）T:161 B:87(F) W:58 H:88,【完全業界未経験】\n【美白Fカップ美巨乳】\n【エロに興味津々おっとり清楚系】\n\nふんわりとした口調に、おっとりとした仕草。\n彼女と向き合った瞬間、場の空気がやさしくとろけていく…そんな穏やかな時間が始まります。\n色白の肌は、まるで陶器のようにきめ細やか。\n\nけれど、その静かな印象の奥には、まだ誰にも触れられていない“無垢なエロス”が秘められている。\n張りと柔らかさをあわせ持ったFカップの美巨乳は、服の上からでは想像もつかないほどの存在感。\n彼女自身もまだ自覚していない、その「肉体の魔力」に触れた時、貴方は本能的な昂ぶりを抑えられなくなるでしょう。\n\n純真無垢な瞳で、貴方の教えを請うように見つめてくる初々しさ。\n好奇心旺盛で、新しい扉を開くことに少しの不安と、大きな期待を抱いている彼女。\nそんな彼女を貴方の色に染め上げていく、背徳的で甘美な悦び。\n\n今、この瞬間にしか出会えない、汚れなき「原石」の輝き。\n彼女のすべてが貴方のために解き放たれる、贅沢なひとときをお楽しみください。
